,x,y,radius (approximation),area (approximation),pixel intensity
0,870.0,21.0,2.042752923427804,13.109361937201855,147.0
1,687.0,18.0,3.2998316455372216,34.208453339088855,137.0
2,654.0,18.0,2.042752923427804,13.109361937201855,132.0
3,881.0,16.0,2.042752923427804,13.109361937201855,173.0
4,862.0,14.0,2.671292284482513,22.417784614504942,131.0
5,646.0,14.0,2.042752923427804,13.109361937201855,135.0
6,548.0,14.0,2.042752923427804,13.109361937201855,207.0
7,1182.0,12.0,2.042752923427804,13.109361937201855,153.0
8,754.0,12.0,2.671292284482513,22.417784614504942,232.0
9,632.0,12.0,3.928371006591931,48.4813681109536,219.0
10,356.0,12.0,2.042752923427804,13.109361937201855,155.0
11,1279.0,11.0,2.042752923427804,13.109361937201855,196.0
12,1248.0,11.0,1.4142135623730951,6.283185307179588,180.0
13,1022.0,11.0,2.671292284482513,22.417784614504942,172.0
14,836.0,11.0,3.2998316455372216,34.208453339088855,103.0
15,1146.0,10.0,2.042752923427804,13.109361937201855,153.0
16,804.0,10.0,3.2998316455372216,34.208453339088855,155.0
17,1120.0,9.0,2.042752923427804,13.109361937201855,163.0
18,1070.0,9.0,2.042752923427804,13.109361937201855,239.0
19,946.0,9.0,2.671292284482513,22.417784614504942,178.0
20,1227.0,8.0,2.671292284482513,22.417784614504942,154.0
